,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
0,-0.296,2018-04-09 21:24:38,0.167,0.833,0.0,0,"Tuesday's Telegraph: ""'Act now to stop chemical warfare'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GqHfSnjcgn",@BBCNews
1,-0.6597,2018-04-09 21:19:39,0.286,0.714,0.0,1,"Tuesday's i: ""UK plan to beat prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/pNt4PNOh8e",@BBCNews
2,-0.4019,2018-04-09 21:19:35,0.213,0.787,0.0,2,"Tuesday's Express: ""Revealed: shocking treatment of diabetics"" (via @hendopolis) #tomorrowspaperstoday https://t.co/1OKXl4NpkF",@BBCNews
3,0.0,2018-04-09 21:07:56,0.0,1.0,0.0,3,"Tuesday's Metro: ""Shrine to burglar... outside OAP's home"" (via @hendopolis) #tomorrowspaperstoday https://t.co/2nWGX6Te7V",@BBCNews
4,-0.3182,2018-04-09 21:07:48,0.141,0.859,0.0,4,"Tuesday's FT: ""Russian stocks battered by new US sanctions and Syria conflict"" (via @hendopolis)… https://t.co/ciZYUqNq6c",@BBCNews
5,0.0,2018-04-09 20:34:30,0.0,1.0,0.0,5,"RT @BBCBreaking: FBI raids offices of President Trump's lawyer Michael Cohen partly over payments made to porn star, US media say https://t…",@BBCNews
6,-0.6597,2018-04-09 20:33:33,0.474,0.526,0.0,6,Three Britons injured in Malta bus crash https://t.co/32aIPZZQG1,@BBCNews
7,-0.7845,2018-04-09 20:08:24,0.345,0.655,0.0,7,RT @BBCBreaking: Russia and the US exchange fierce words at UN over suspected Syria chemical weapons attack https://t.co/mRIs1pyHPx,@BBCNews
8,-0.2732,2018-04-09 18:44:47,0.259,0.741,0.0,8,Schools 'to drop gathering nationality data' https://t.co/4Z80G1dJVT,@BBCNews
9,-0.3182,2018-04-09 17:33:37,0.204,0.796,0.0,9,Olympic rower Helen Glover announces she has lost twin https://t.co/Dej8mUmaqB,@BBCNews
10,-0.2023,2018-04-09 16:58:41,0.205,0.795,0.0,10,Man charged over 'racist' letter to MSP https://t.co/M9YlQdZTjE,@BBCNews
11,0.0,2018-04-09 16:58:00,0.0,1.0,0.0,11,RT @davidshukmanbbc: Incredible scale of cargo ships. Watch our story on shipping and climate change on #BBCNewsSix https://t.co/YaZjm1qv76,@BBCNews
12,-0.4767,2018-04-09 16:57:03,0.256,0.744,0.0,12,"Home Office investigates personal documents sent to wrong address
https://t.co/BTLtt6UGNJ",@BBCNews
13,0.0,2018-04-09 16:34:45,0.0,1.0,0.0,13,Rise in numbers of Britons becoming EU citizens in 2016 https://t.co/sxekW9QVaM,@BBCNews
14,-0.296,2018-04-09 16:11:06,0.216,0.784,0.0,14,Hither Green burglary suspect hunted by Met Police https://t.co/4g4JZzxXsd,@BBCNews
15,-0.4215,2018-04-09 14:41:54,0.259,0.741,0.0,15,Bristol Airport parking firm 'fails to return cars' https://t.co/s0Kdu7IO7E,@BBCNews
16,0.4215,2018-04-09 13:31:05,0.0,0.823,0.177,16,Royal wedding: Prince Harry and Meghan Markle ask for charity donations not gifts https://t.co/vJIiZxlvG1,@BBCNews
17,0.5719,2018-04-09 13:28:19,0.0,0.844,0.156,17,"RT @BBC_HaveYourSay: Are you getting married on the day of the #RoyalWedding on May 19? 

Maybe you are... 
celebrating a multicultural or…",@BBCNews
18,-0.7506,2018-04-09 13:21:49,0.516,0.484,0.0,18,Theresa May condemns 'barbaric attack' in Syria https://t.co/chRytcTHjm,@BBCNews
19,-0.92,2018-04-09 13:17:08,0.483,0.517,0.0,19,"Prime Minister @theresa_may says UK ""utterly condemns use of chemical weapons"" following Douma poison gas attack, a… https://t.co/aEvlAGxUBj",@BBCNews
20,-0.4215,2018-04-09 13:09:17,0.318,0.682,0.0,20,Durham police criticised over 'crude' profiling https://t.co/QXDXd1ndO4,@BBCNews
21,0.0258,2018-04-09 12:54:19,0.0,0.932,0.068,21,"How was information from @facebook users handled by Cambridge Analytica, and why does it matter? https://t.co/sUrGSp1QWE",@BBCNews
22,0.3612,2018-04-09 12:42:58,0.095,0.747,0.158,22,"RT @BBCSport: Day 5 - Commonwealth Games 
#GC2018 

Akani Simbine shocked Yohan Blake to win the men's 100m, with Michelle-Lee Ahye making…",@BBCNews
23,0.4019,2018-04-09 12:25:42,0.0,0.722,0.278,23,Sir Nick Clegg: Breakaway party 'highly likely' https://t.co/KJUCDQEmc0,@BBCNews
24,0.0,2018-04-09 11:40:15,0.0,1.0,0.0,24,Air traffic controller sickness forces Gatwick Airport runway to close https://t.co/4LZW2ePzFm,@BBCNews
25,0.0,2018-04-09 11:38:44,0.0,1.0,0.0,25,"Home Secretary @AmberRuddHR calls on social media sites to take action and ""not host content linked to gang violenc… https://t.co/DSAtiYpJHJ",@BBCNews
26,-0.7351,2018-04-09 11:27:57,0.279,0.721,0.0,26,Funding announced for 'prevention programmes' for young people at risk of getting involved in violence - Home Secre… https://t.co/yHAWEpVeBR,@BBCNews
27,-0.0717,2018-04-09 11:25:20,0.109,0.794,0.097,27,"""I stand fully behind stop and search and I see it as a vital tool for the police"" 

Home Secretary @AmberRuddHR… https://t.co/Y5YiyLT4e1",@BBCNews
28,0.0772,2018-04-09 11:23:13,0.0,0.939,0.061,28,"""We will focus on reducing the number of people who take drugs"" 

Home Secretary @AmberRuddHR on new strategy for d… https://t.co/qNgLwVJujf",@BBCNews
29,-0.3089,2018-04-09 10:55:32,0.117,0.883,0.0,29,Evidence does not support claim of fewer police officers - Home Secretary @AmberRuddHR announcing new measures to t… https://t.co/wjKF0fVJNE,@BBCNews
30,0.1779,2018-04-09 10:35:45,0.0,0.841,0.159,30,Four people in 'unbelievable' escape as wood skewers car https://t.co/zMnaUuWA2j,@BBCNews
31,0.6369,2018-04-09 10:35:45,0.0,0.574,0.426,31,Loyalist paramilitary groups 'to support rule of law' https://t.co/c4XNVhCoGl,@BBCNews
32,-0.5267,2018-04-09 10:18:50,0.386,0.614,0.0,32,Boy dies after falling ill in Edinburgh street https://t.co/P8cNqWyFwV,@BBCNews
33,-0.4767,2018-04-09 09:55:49,0.129,0.871,0.0,33,RT @BBCEngland: A council introduces fines of £80 for anyone caught feeding pigeons in a town centre after the birds were blamed for damagi…,@BBCNews
34,-0.6249,2018-04-09 09:55:38,0.177,0.823,0.0,34,"RT @VictoriaLIVE: Children as young as 3 years old should have lessons to tackle gang violence - our debate panel suggests.

https://t.co/G…",@BBCNews
35,-0.4767,2018-04-09 09:50:03,0.344,0.48,0.176,35,Cassie Hayes: Man admits murdering travel agent https://t.co/dYiJhHJjMm,@BBCNews
36,-0.9153,2018-04-09 09:35:49,0.41,0.59,0.0,36,"RT @VictoriaLIVE: A devastated mum describes the reality of knife crime - the heartbroken families left behind.

See our film &gt;&gt; https://t.…",@BBCNews
37,0.3595,2018-04-09 09:33:01,0.0,0.898,0.102,37,"RT @BBCSport: World record alert! 🚨

With her first throw, Holly Robinson sets a new record of 43.32m in the women's F47 javelin.

The prev…",@BBCNews
